Integrated Summary Table of All Experimental Results,,,,,,,,
,,,,,,,,
Scenario,Dataset,Model,Trainable,Validation,Anomaly,Detected,Training,Inference
,,,Parameters,MAE Loss,Threshold,Anomalies,Convergence,Time
,,,,,,,Epochs,
1. 100% real,35k,Deep-AE,137984,0.149575,0.395849,4.08%,79,—
,,LSTM-AE,264292,0.396676,0.648934,4.69%,80,—
,,CONV-AE,113220,0.077052,0.142957,3.61%,77,—
,,CONV-VAE,146468,0.729799,0.948195,4.02%,70,—
,100k,Deep-AE,137984,0.219821,0.449978,5.02%,80,323s
,,LSTM-AE,264292,0.202356,0.36328,7.64%,66,2.03h
,,CONV-AE,113220,0.053111,0.078524,7.59%,80,580s
,,CONV-VAE,146468,0.707239,0.919811,5.19%,60,603s
2. 70% real +,35k,Deep-AE,137984,0.256657,0.585721,5.00%,77,116s
30% virtual,,LSTM-AE,264292,0.401962,0.666684,2.92%,80,47.39min
,,CONV-AE,113220,0.097361,0.178651,2.38%,73,220s
,,CONV-VAE,146468,0.860753,1.050847,1.95%,47,195s
,100k,Deep-AE,137984,0.338659,0.724341,2.13%,57,342s
,,LSTM-AE,264292,0.319698,0.593571,1.21%,74,2.04h
,,CONV-AE,113220,0.040632,0.063405,2.50%,80,572s
,,CONV-VAE,146468,0.819398,1.023116,0.83%,78,697s
3. 30% real +,35k,Deep-AE,137984,0.123852,0.029109,62.33%,70,2.3min
70% virtual,,LSTM-AE,264292,0.113046,0.127373,50.58%,74,45.87min
,,CONV-AE,113220,0.100061,0.115141,28.10%,77,3.55min
,,CONV-VAE,146468,0.194159,0.208883,62.03%,59,3.62min
,100k,Deep-AE,137984,0.411238,0.250037,44.20%,75,5.08min
,,LSTM-AE,264292,0.331494,0.490888,32.75%,6,29.09min
,,CONV-AE,113220,0.018162,0.025303,16.23%,80,9.76min
,,CONV-VAE,146468,0.335264,0.561983,68.71%,11,3.33min
4. 100% virtual,35k,Deep-AE,236480,0.174433,0.064637,5.13%,66,—
,,LSTM-AE,268779,0.204916,0.082341,5.05%,78,—
,,CONV-AE,115467,0.11302,0.026768,4.67%,45,—
,,CONV-VAE,148715,0.200956,0.078747,5.70%,80,—
,100k,Deep-AE,236480,0.170431,0.061989,4.87%,48,—
,,LSTM-AE,268779,0.204626,0.082039,4.92%,69,—
,,CONV-AE,115467,0.105279,0.023427,5.00%,61,—
,,CONV-VAE,148715,0.198683,0.076846,5.14%,53,—
5. 70% outliers,35k,Deep-AE,137984,0.224137,0.417967,3.03%,76,210s
in 100% real,,LSTM-AE,264292,0.201207,0.423396,4.47%,74,49.34min
,,CONV-AE,113220,0.067878,0.120277,2.71%,80,252s
,,CONV-VAE,146468,0.596762,0.828262,3.42%,76,287s
,100k,Deep-AE,137984,0.22501,0.484689,6.50%,74,6min
,,LSTM-AE,264292,0.379495,0.625137,6.30%,66,2.07h
,,CONV-AE,113220,0.068582,0.122724,5.08%,80,9.81min
,,CONV-VAE,146468,0.638333,0.783957,4.59%,80,11.65min
6. 30% outliers,35k,Deep-AE,137984,0.221175,0.438916,2.81%,79,137s
in 100% real,,LSTM-AE,264292,0.195893,0.420927,4.41%,78,0.83h
,,CONV-AE,113220,0.066261,0.118421,2.55%,80,253s
,,CONV-VAE,146468,0.597284,0.82486,3.44%,77,286s
,100k,Deep-AE,137984,0.2167,0.532388,6.83%,70,336s
,,LSTM-AE,264292,0.220143,0.49688,5.44%,80,2.13h
,,CONV-AE,113220,0.056123,0.113367,4.76%,77,594s
,,CONV-VAE,146468,0.601813,0.823418,3.93%,79,656s
